Sr,Developers,Total Projects,Ongoing Projects
350,Kanakmangala Associates,,
351,Makarand Prabhakar Warudkar,,
352,Global Reality Pune,,
353,Royal Trinity Buildcon,,
354,Raj Heramba Properties,13 Total Projects,1 Ongoing Projects
355,GRG Developers,,
356,Supreme Vision Ventures,,
357,Gurukrupa Associates Pune,,
358,Om Developers Kharadi Pune,,
359,Floret Buildcon,,
360,Runaa Homes,,
361,Anvee Buildcon Pune,,
362,Pradnyaraj Properties,,
363,Asset Group,,
364,Shree Sai Construction Kadamwak,,
365,Tiara Developers,1 Total Projects, Ongoing Projects
366,Aditya Promoters,,
367,Hamy,4 Total Projects, Ongoing Projects
368,AGN Venture,,
369,Mrunal Developers,1 Total Projects, Ongoing Projects
370,Blue Horizon Infra,,
371,Sanjay V Gaikwad,1 Total Projects, Ongoing Projects
372,Ravima Developer,,
373,Lakshadeep Developers Pune,,
374,Vaishnavi Infrastructure,5 Total Projects, Ongoing Projects
375,Shraddha Landmark,20 Total Projects,12 Ongoing Projects
376,Gawade Group,7 Total Projects, Ongoing Projects
377,Sarvesh Realty,3 Total Projects, Ongoing Projects
378,Buildcorp,2 Total Projects, Ongoing Projects
379,Shalaka,1 Total Projects, Ongoing Projects
380,Oxford Infra Group,3 Total Projects, Ongoing Projects
381,Moraya Associates,2 Total Projects,1 Ongoing Projects
382,ACME Landmark,9 Total Projects, Ongoing Projects
383,Shri Sai Developers,3 Total Projects, Ongoing Projects
384,Elpro Estates,1 Total Projects, Ongoing Projects
385,Royal Constructions,3 Total Projects,3 Ongoing Projects
386,Ganesh Developers,7 Total Projects, Ongoing Projects
387,B Orbit Group,5 Total Projects,2 Ongoing Projects
388,Suma Shilp,4 Total Projects, Ongoing Projects
389,Icon Properties,3 Total Projects,1 Ongoing Projects
390,Vimalraj Sancheti Developers,1 Total Projects, Ongoing Projects
391,Satkar Developers,1 Total Projects, Ongoing Projects
392,Trimurti Associates,4 Total Projects,1 Ongoing Projects
393,Lanke Birje Associates,5 Total Projects, Ongoing Projects
394,Kwality World Developers,3 Total Projects,1 Ongoing Projects
395,Dean Group,2 Total Projects, Ongoing Projects
396,Hrishikesh Developers,1 Total Projects, Ongoing Projects
397,Varad Buildcon,1 Total Projects,1 Ongoing Projects
398,S Balan,6 Total Projects, Ongoing Projects
399,Rhythm Realty,3 Total Projects, Ongoing Projects
400,Navratna Properties,2 Total Projects, Ongoing Projects
401,Khabiya Group,6 Total Projects, Ongoing Projects
402,Aristo Realty,58 Total Projects,2 Ongoing Projects
403,Shri Siddhivinayak,2 Total Projects, Ongoing Projects
404,Paras Developers,1 Total Projects, Ongoing Projects
405,Meda Groups,3 Total Projects, Ongoing Projects
406,Orange County,5 Total Projects, Ongoing Projects
407,Sharada Group,14 Total Projects,3 Ongoing Projects
408,Ovaks Infra Projects,2 Total Projects,1 Ongoing Projects
409,Kanha Group,16 Total Projects,9 Ongoing Projects
410,BG Group,2 Total Projects, Ongoing Projects
411,UBR Realty,3 Total Projects, Ongoing Projects
412,Nalinottam Constructions,1 Total Projects, Ongoing Projects
413,Matrix Infra,2 Total Projects, Ongoing Projects
414,Sahyadri Realties,6 Total Projects, Ongoing Projects
415,Ideal Constructions,1 Total Projects, Ongoing Projects
416,Austin Engineers,5 Total Projects,1 Ongoing Projects
417,Trishul Builders,2 Total Projects, Ongoing Projects
418,Uttam Developers,1 Total Projects, Ongoing Projects
419,SSK Developers,1 Total Projects, Ongoing Projects
420,Temple Rose Real Estate,3 Total Projects, Ongoing Projects
421,Shri Balaji Developers,3 Total Projects, Ongoing Projects
422,Nilay Developers, Total Projects, Ongoing Projects
423,Sunrise,2 Total Projects, Ongoing Projects
424,Royal Colonizers,3 Total Projects, Ongoing Projects
425,J S Developers,1 Total Projects, Ongoing Projects
426,Asian Developer,1 Total Projects, Ongoing Projects
427,Shiven Group,2 Total Projects, Ongoing Projects
428,OM Constructions,5 Total Projects,2 Ongoing Projects
429,Satyam Group,9 Total Projects,5 Ongoing Projects
430,Keystone Developers,5 Total Projects, Ongoing Projects
431,Om Ganesh Constructions,3 Total Projects,2 Ongoing Projects
432,Rajashree Developers,18 Total Projects,5 Ongoing Projects
433,Setpal Properties,4 Total Projects, Ongoing Projects
434,Shivam Developer,2 Total Projects, Ongoing Projects
435,Krishna Developers Pune,4 Total Projects, Ongoing Projects
436,Tiruupatee Vastu Nirman,1 Total Projects, Ongoing Projects
437,VK Developers,10 Total Projects,1 Ongoing Projects
438,Prithvi Edifice,5 Total Projects,3 Ongoing Projects
439,Shashwati Buildcon,2 Total Projects,1 Ongoing Projects
440,Lavasa Corporation,28 Total Projects,12 Ongoing Projects
441,Sujay Venture,3 Total Projects,1 Ongoing Projects
442,Shreeji Developers Anand,3 Total Projects,2 Ongoing Projects
443,Kothari Brothers,5 Total Projects,3 Ongoing Projects
444,Aksha Group,12 Total Projects,6 Ongoing Projects
445,Dajikaka Gadgil Developers,12 Total Projects,1 Ongoing Projects
446,Shree Balaji Builders And Developers,1 Total Projects, Ongoing Projects
447,VT And Stuti Developers,2 Total Projects, Ongoing Projects
448,SP Infrastructure,1 Total Projects, Ongoing Projects
449,Shree Developers,16 Total Projects,2 Ongoing Projects
450,Natraj Group,1 Total Projects, Ongoing Projects
451,Gayatri Developers,1 Total Projects, Ongoing Projects
452,Aryavart Developers,2 Total Projects, Ongoing Projects
453,Sharan Luxury Homes,1 Total Projects, Ongoing Projects
454,Benchmark Group,7 Total Projects,1 Ongoing Projects
455,Bansal Infracon,2 Total Projects, Ongoing Projects
456,Castle Dream Space,3 Total Projects, Ongoing Projects
457,Orion,5 Total Projects, Ongoing Projects
458,Metro Properties Pune,1 Total Projects, Ongoing Projects
459,Ashapura Buildcon,2 Total Projects, Ongoing Projects
460,Sangani Builders,1 Total Projects, Ongoing Projects
461,B4 Properties,7 Total Projects, Ongoing Projects
462,Devi Constructions,10 Total Projects, Ongoing Projects
463,Bhondve Landge Realities,1 Total Projects, Ongoing Projects
464,PGM Associates,1 Total Projects, Ongoing Projects
465,Sai Srushti,1 Total Projects, Ongoing Projects
466,Ashcon And Vaishnavi,1 Total Projects, Ongoing Projects
467,Shri Sadguru Associates Pune,,
468,Rathi Developer,6 Total Projects,4 Ongoing Projects
469,KAR Properties,1 Total Projects, Ongoing Projects
470,Shaligram Buildcon,10 Total Projects,3 Ongoing Projects
471,Deepali Civil Project,,
472,Sadguru Developers,4 Total Projects, Ongoing Projects
